"","Sp","Species_name","Families","Families1","Fossil_point","Abbreviations","Shape_point","Epoch","Regression_point","Collection_number","Body_mass_g","Body","Brain_volume_cm3","Brain_volume_mm3","OB","predicted","residuals"
"Neoreomys_australis",14,"Neoreomys_australis","Cavioidea","Caviomorpha","Fossil","Ne_au","Ne_au","Miocene","Fossil","PIMUZ A/V 5265",5120,6.70926996097583,13.20844,13208.44,2.63996434864037,2.51893525641656,0.121029092223806
"Prospaniomys_priscus",27,"Prospaniomys_priscus","Octodontoidea","Caviomorpha","Fossil","Pr_pr","Pr_pr","Miocene","Fossil","MACN-PV CH1913",368.6760783,5.566644959143,2.4258,2425.8,1.80345711564841,1.68278881983957,0.120668295808848
"Incamys_bolivianus",32,"Incamys_bolivianus","Chinchilloidea","Caviomorpha","Fossil","In_bo","In_bo","Oligocene","Fossil","YPM VPPU 21945",787.1062757,5.89603337509603,3.93658,3936.58,2.23935955028959,1.9238276119254,0.315531938364188
"Cochilius_sp.",42,"Cochilius_sp.","Notoungulata","Notoungulata","Other","Co_sp","Other","Oligocene","Notoungulata","SGOPV 3774",2050,6.31175386105575,6.839,6839,2.46538285144842,2.22804220760615,0.237340643842273
"Mendozahippus_fierensis",43,"Mendozahippus_fierensis","Notoungulata","Notoungulata","Other","Me_fi","Other","Oligocene","Notoungulata","MCNAM-PV 4004",82000,7.91381385238372,59.437,59437,3.67430988894148,3.40039249819381,0.273917390747668
"Trachytherus_spegazzinianus",47,"Trachytherus_spegazzinianus","Notoungulata","Notoungulata","Other","Tr_su","Other","Oligocene","Notoungulata","UNPSJB-PV 112",136460,8.13500536694389,60.41,60410,3.47129171105894,3.56225531093105,-0.090963599872111
"Pseudoplohophorus_absolutus",54,"Pseudoplohophorus_absolutus","Xenarthra","Xenarthra","Other","Ps_ab","Other","Miocene","Cingulata Xenarthra","FCDPV
595",209000,8.32014628611105,100.98,100980,3.76011022203196,3.69773713530729,0.0623730867246701
"Chilecebus_carrascoensis",55,"Chilecebus_carrascoensis","Primates","Primates","Other","Ch_ci","Other","Miocene","stem Platyrrhini","SGOPV 3213",583,5.76566855475901,7.96,7960,1,1.82842966438798,-0.828429664387982
"Glyptodon sp. 15152",56,"Glyptodon_sp._15152","Xenarthra","Xenarthra","Other","Gl_sp_15152","Other","Pleistocene","Cingulata Xenarthra","MACN-Pv 15152",2012000,9.30362797638389,234.12,234120,4.23867023517312,4.41742619290824,-0.178755957735119
"Glyptodon sp. 11-04",57,"Glyptodon_sp._11-04","Xenarthra","Xenarthra","Other","Gl_sp_11-04","Other","Pleistocene","Cingulata Xenarthra","MPAC 11-04",946000,8.97589113640179,213.38,213380,4.01039494816841,4.17759598575675,-0.167201037588341
"Panochthus tuberculatus",59,"Panochthus_tuberculatus","Xenarthra","Xenarthra","Other","Pa_tu","Other","Pleistocene","Cingulata Xenarthra","-",1453000,9.16226561429802,212.61,212610,4.31435542174742,4.31398049975903,0.000374921988388621
"Doedicurus clavicaudatus",60,"Doedicurus_clavicaudatus","Xenarthra","Xenarthra","Other","Do_cl","Other","Pleistocene","Cingulata Xenarthra","-",1229000,9.08955188288645,233.81,233810,4.29314236796018,4.26077028003474,0.0323720879254372
"Pampatherium humboldtii",62,"Pampatherium_humboldtii","Xenarthra","Xenarthra","Other","Pa_hu","Other","Pleistocene","Cingulata Xenarthra","MHD-P-28",209500,8.32118402730231,133,133000,4.02694162795903,3.69849653020743,0.328445097751604
"Mesotherium maendrum_2925",63,"Mesotherium_maendrum_2925","Notoungulata","Notoungulata","Other","Me_ma_2925","Other","Pliocene","Notoungulata","MACN Pv 2925",194820,8.28963353900964,93.25,93250,3.44870631990508,3.67540861569841,-0.22670229579333
